Date : 2023-01-22 18:01:33
Directory : d:\Flutter_projects\updated\sds\Mystica
Total : 68 files,  10034 codes, 520 comments, 704 blanks, all 11258 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         54 |      9,552 |        362 |        542 |     10,456 |
| C++      |         10 |        407 |         80 |        131 |        618 |
| YAML     |          2 |         46 |         78 |         18 |        142 |
| CMake    |          1 |         19 |          0 |          6 |         25 |
| Markdown |          1 |         10 |          0 |          7 |         17 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         68 |     10,034 |        520 |        704 |     11,258 |
| . (Files)                                                                                                 |          3 |         56 |         78 |         25 |        159 |
| lib                                                                                                       |         54 |      9,552 |        362 |        542 |     10,456 |
| lib (Files)                                                                                               |          1 |         81 |          9 |          4 |         94 |
| lib\data                                                                                                  |         10 |      2,640 |         56 |        165 |      2,861 |
| lib\data\local                                                                                            |         10 |      2,640 |         56 |        165 |      2,861 |
| lib\data\local\db                                                                                         |          2 |      2,571 |         56 |        149 |      2,776 |
| lib\data\local\entity                                                                                     |          8 |         69 |          0 |         16 |         85 |
| lib\models                                                                                                |          7 |         96 |          0 |         15 |        111 |
| lib\models\Gallery                                                                                        |          2 |         28 |          0 |          5 |         33 |
| lib\models\Journal                                                                                        |          1 |         14 |          0 |          2 |         16 |
| lib\models\Notebook                                                                                       |          2 |         30 |          0 |          4 |         34 |
| lib\models\reminder                                                                                       |          1 |         12 |          0 |          2 |         14 |
| lib\models\todo                                                                                           |          1 |         12 |          0 |          2 |         14 |
| lib\screens                                                                                               |         25 |      5,429 |        226 |        279 |      5,934 |
| lib\screens (Files)                                                                                       |          1 |         86 |          6 |          7 |         99 |
| lib\screens\main-screen                                                                                   |          5 |      1,322 |         72 |         39 |      1,433 |
| lib\screens\submain-screens                                                                               |         19 |      4,021 |        148 |        233 |      4,402 |
| lib\screens\submain-screens\album                                                                         |          6 |      1,220 |         66 |         73 |      1,359 |
| lib\screens\submain-screens\album (Files)                                                                 |          3 |        549 |         32 |         39 |        620 |
| lib\screens\submain-screens\album\image                                                                   |          3 |        671 |         34 |         34 |        739 |
| lib\screens\submain-screens\journal                                                                       |          4 |        801 |         21 |         43 |        865 |
| lib\screens\submain-screens\notebook                                                                      |          7 |      1,302 |         22 |         84 |      1,408 |
| lib\screens\submain-screens\notebook (Files)                                                              |          3 |        699 |         19 |         43 |        761 |
| lib\screens\submain-screens\notebook\note                                                                 |          4 |        603 |          3 |         41 |        647 |
| lib\screens\submain-screens\reminder                                                                      |          1 |        351 |         19 |         16 |        386 |
| lib\screens\submain-screens\todo                                                                          |          1 |        347 |         20 |         17 |        384 |
| lib\widgets                                                                                               |         11 |      1,306 |         71 |         79 |      1,456 |
| lib\widgets (Files)                                                                                       |          1 |        248 |          2 |          5 |        255 |
| lib\widgets\Items                                                                                         |         10 |      1,058 |         69 |         74 |      1,201 |
| windows                                                                                                   |         11 |        426 |         80 |        137 |        643 |
| windows\flutter                                                                                           |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                            |          8 |        396 |         71 |        120 |        587 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                  | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutter_projects\updated\sds\Mystica\README.md                                                         | Markdown |         10 |          0 |          7 |         17 |
| d:\Flutter_projects\updated\sds\Mystica\analysis_options.yaml                                             | YAML     |          3 |         23 |          4 |         30 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.dart                                     | Dart     |        185 |         54 |         50 |        289 |
