Date : 2023-01-27 02:05:43
Directory : d:\Flutter_projects\updated\sds\Mystica
Total : 68 files,  10734 codes, 533 comments, 744 blanks, all 12011 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         54 |     10,242 |        375 |        581 |     11,198 |
| C++      |         10 |        407 |         80 |        131 |        618 |
| YAML     |          2 |         56 |         78 |         19 |        153 |
| CMake    |          1 |         19 |          0 |          6 |         25 |
| Markdown |          1 |         10 |          0 |          7 |         17 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         68 |     10,734 |        533 |        744 |     12,011 |
| . (Files)                                                                                                 |          3 |         66 |         78 |         26 |        170 |
| lib                                                                                                       |         54 |     10,242 |        375 |        581 |     11,198 |
| lib (Files)                                                                                               |          1 |         81 |          9 |          4 |         94 |
| lib\data                                                                                                  |         10 |      2,694 |         58 |        168 |      2,920 |
| lib\data\local                                                                                            |         10 |      2,694 |         58 |        168 |      2,920 |
| lib\data\local\db                                                                                         |          2 |      2,624 |         58 |        152 |      2,834 |
| lib\data\local\entity                                                                                     |          8 |         70 |          0 |         16 |         86 |
| lib\models                                                                                                |          7 |         96 |          0 |         15 |        111 |
| lib\models\Gallery                                                                                        |          2 |         28 |          0 |          5 |         33 |
| lib\models\Journal                                                                                        |          1 |         14 |          0 |          2 |         16 |
| lib\models\Notebook                                                                                       |          2 |         30 |          0 |          4 |         34 |
| lib\models\reminder                                                                                       |          1 |         12 |          0 |          2 |         14 |
| lib\models\todo                                                                                           |          1 |         12 |          0 |          2 |         14 |
| lib\screens                                                                                               |         25 |      6,049 |        235 |        316 |      6,600 |
| lib\screens (Files)                                                                                       |          1 |         86 |          6 |          7 |         99 |
| lib\screens\main-screen                                                                                   |          5 |      1,561 |         78 |         55 |      1,694 |
| lib\screens\submain-screens                                                                               |         19 |      4,402 |        151 |        254 |      4,807 |
| lib\screens\submain-screens\album                                                                         |          6 |      1,299 |         63 |         79 |      1,441 |
